ID,CLASSIFIED,SUMMARY
LUCENE-495,BUG, Suggested Patches to MultiPhraseQuery and QueryTermExtractor (for use with HighLighter) 
LUCENE-1490,BUG, CJKTokenizer convert   HALFWIDTH_AND_FULLWIDTH_FORMS wrong 
LUCENE-352,BUG, [PATCH] NullPointerException when using nested SpanOrQuery in SpanNotQuery 
LUCENE-2188,NUG, A handy utility class for tracking deprecated overridden methods 
LUCENE-1127,NUG, TokenSources.getTokenStream(Document...)  
LUCENE-1210,BUG, IndexWriter & ConcurrentMergeScheduler deadlock case if starting a merge hits an exception 
LUCENE-1835,NUG, Signature changes in AttributeSource for better Generics support of AddAttribute/getAttribute 
LUCENE-2273,NUG, FieldCacheImpl's getCacheEntries() is buggy as it uses WeakHashMap incorrectly and leads to ConcurrentModExceptions 
LUCENE-2014,BUG, position increment bug: smartcn 
LUCENE-2385,NUG, Move NoDeletionPolicy from benchmark to core 
LUCENE-906,NUG, Elision filter for simple french analyzing 
LUCENE-1660,NUG, Make StopFilter.enablePositionIncrements explicit 
LUCENE-2500,NUG, A Linux-specific Directory impl that bypasses the buffer cache 
LUCENE-3895,NUG, Not getting random-seed/reproduce-with if a test fails from another thread 
LUCENE-930,NUG, fail build if contrib tests fail to compile 
LUCENE-3035,BUG, TestIndexWriter.testCommitThreadSafety fails on realtime_search branch 
LUCENE-3713,BUG, TestIndexWriterOnDiskFull.testAddIndexOnDiskFull fails with java.lang.IllegalStateException: CFS has pending open files  
LUCENE-1230,NUG, Source release files missing the *.pom.template files 
LUCENE-1022,NUG, IndexWriter.setInfoStream should percolate down to mergePolicy & mergeScheduler 
LUCENE-3533,NUG, Nuke SpanFilters and CachingSpanFilter (maybe move to sandbox) 
LUCENE-3403,BUG, Term vectors missing after addIndexes + optimize 
LUCENE-2580,BUG, MultiPhraseQuery throws AIOOBE 
LUCENE-1183,NUG, TRStringDistance uses way too much memory (with patch) 
LUCENE-937,NUG, Make CachingTokenFilter faster 
LUCENE-3072,BUG, 3.1 fileformats out of date 
LUCENE-502,NUG, TermScorer caches values unnecessarily 
LUCENE-1792,BUG, new QueryParser fails to set AUTO REWRITE for multi-term queries 
LUCENE-1954,BUG, InitiatedIndex: CCE on casting NumericField to Field 
LUCENE-1430,BUG, IndexReader.open(String|File) may incorrectly throw AlreadyClosedException 
LUCENE-2027,NUG, Deprecate Directory.touchFile 
LUCENE-1150,NUG, The token types of the standard tokenizer is not accessible 
LUCENE-1986,BUG, NPE in NearSpansUnordered from PayloadNearQuery 
LUCENE-738,NUG, read/write .del as d-gaps when the deleted bit vector is sufficiently sparse 
LUCENE-1645,BUG, Deleted documents are visible across reopened MSRs 
LUCENE-455,BUG, FieldsReader does not regard offset and position flags 
LUCENE-2392,NUG, Enable flexible scoring 
LUCENE-1445,NUG, include junit JAR in source dist 
LUCENE-2339,NUG, Allow Directory.copy() to accept a collection of file names to be copied 
LUCENE-2603,NUG, FastVectorHighlighter: add a method to set an arbitrary char that is used when concatenating multiValued data 
LUCENE-763,BUG, LuceneDictionary skips first word in enumeration 
LUCENE-3795,NUG, Replace spatial contrib module with LSP's spatial-lucene module 
LUCENE-2387,BUG, IndexWriter retains references to Readers used in Fields (memory leak) 
LUCENE-908,NUG, MANIFEST.MF cleanup (main jar and luci customizations) 
LUCENE-1520,BUG, OOM erros with CheckIndex with indexes containg a lot of fields with norms 
LUCENE-1104,NUG," Clean up old JIRA issues in component ""Analysis"" "
LUCENE-701,NUG, Lock-less commits 
LUCENE-2364,NUG," Add support for terms in BytesRef format to Term, TermQuery, TermRangeQuery & Co. "
LUCENE-723,NUG, QueryParser support for MatchAllDocs 
LUCENE-992,BUG, IndexWriter.updateDocument is no longer atomic 
LUCENE-236,NUG, typos on FAQ 
LUCENE-2865,NUG, Pass a context struct to Weight#scorer instead of naked booleans 
LUCENE-2888,BUG, Several DocsEnum / DocsAndPositionsEnum return wrong docID when next() / advance(int) return NO_MORE_DOCS 
LUCENE-1089,NUG, Add insertWithOverflow to PriorityQueue 
LUCENE-3286,NUG, Move XML QueryParser to queryparser module 
LUCENE-830,NUG, norms file can become unexpectedly enormous 
LUCENE-1941,BUG, MinPayloadFunction returns 0 when only one payload is present 
LUCENE-3741,NUG, MockCharFilter offset correction is wrong 
LUCENE-1778,NUG, Add log.step support per task 
LUCENE-1945,NUG, Make all classes that have a close() methods instanceof Closeable (Java 1.5) 
LUCENE-3816,BUG, FilteredDocIdSet does not handle a case where the inner set iterator is null 
LUCENE-966,NUG, A faster JFlex-based replacement for StandardAnalyzer 
LUCENE-3818,NUG, TestIndexWriterNRTIsCurrent failure 
LUCENE-1359,BUG, FrenchAnalyzer's tokenStream method does not honour the contract of Analyzer 
LUCENE-3501,NUG, random sampler is not random (and so facet SamplingWrapperTest occasionally fails) 
LUCENE-2815,NUG, MultiFields not thread safe 
LUCENE-1470,NUG, Add TrieRangeFilter to contrib 
LUCENE-3188,BUG, The class from cotrub directory org.apache.lucene.index.IndexSplitter creates a non correct index 
LUCENE-1633,NUG, Copy/Paste-Typo in toString() for SpanQueryFilter 
LUCENE-1480,NUG, Wrap messages output with a check of InfoStream != null 
LUCENE-1886,NUG, Improve Javadoc 
LUCENE-1707,NUG, Don't use ensureOpen() excessively in IndexReader and IndexWriter 
LUCENE-3344,NUG, Add workaround for ICU bug in combination with Java7 to LuceneTestCase 
LUCENE-3848,BUG, basetokenstreamtestcase should fail if tokenstream starts with posinc=0 
LUCENE-2497,BUG," Revision 949509 (LUCENE-2480) causes IOE ""read past EOF"" when processing older format SegmentInfo data when JVM assertion processing is disabled. "
LUCENE-3330,NUG, revise Scorer visitor API 
LUCENE-2065,NUG, Java 5 port phase II  
LUCENE-3285,NUG, Move QueryParsers from contrib/queryparser to queryparser module 
LUCENE-1478,NUG, Missing possibility to supply custom FieldParser when sorting search results 
LUCENE-1737,NUG, Always use bulk-copy when merging stored fields and term vectors 
LUCENE-3408,NUG, Remove unnecessary memory barriers in DWPT 
LUCENE-301,NUG, Index Writer constructor flags unclear - and annoying in certain cases 
LUCENE-745,NUG, Make inspection of BooleanQuery more efficient 
LUCENE-309,BUG," [PATCH] IndexSearcher.search(query,filter,nDocs) accepts zero nDocs "
LUCENE-3529,BUG, creating empty field + empty term leads to invalid index 
LUCENE-1968,NUG, Remove deprecated methods in PriorityQueue 
LUCENE-2208,BUG, Token div exceeds length of provided text sized 4114 
LUCENE-1803,NUG, Wrong javadoc on LowerCaseTokenizer.normalize 
LUCENE-1629,NUG, contrib intelligent Analyzer for Chinese 
LUCENE-620,NUG, GData Server - TestCase Deadlock  StorageModifier 
LUCENE-2928,NUG, Improve LuceneTestCase javadocs 
LUCENE-1998,NUG, Use Java 5 enums 
LUCENE-2597,NUG, Query scorers should not use MultiFields 
LUCENE-1807,NUG, Add convenient constructor to PerFieldAnalyzerWrapper for Dependency Injection 
LUCENE-1950,NUG, Remove autoCommit from IndexWriter 
LUCENE-377,NUG, GCJ build fails with JDK 1.5 
LUCENE-3033,BUG, TestAddIndexes#testAddIndexesWithThreads fails on Realtime 
LUCENE-3637,NUG, Make IndexReader.decRef() call refCount.decrementAndGet instead of getAndDecrement 
LUCENE-3219,NUG, Change SortField types to an Enum 
LUCENE-2676,NUG, TestIndexWriter failes for SimpleTextCodec 
LUCENE-3284,NUG, Move contribs/modules away from QueryParser dependency 
LUCENE-1402,NUG, CheckIndex API changed without backwards compaitibility 
LUCENE-708,NUG, Setup nightly build website links and docs 
LUCENE-2721,NUG, Random Failure TestSizeBoundedOptimize#testFirstSegmentTooLarge 
LUCENE-2768,NUG, add infrastructure for longer running nightly test cases 
LUCENE-1924,NUG," BalancedSegmentMergePolicy, contributed from the Zoie project for realtime indexing "
LUCENE-1115,NUG, Some small fixes to contrib/benchmark 
LUCENE-615,NUG, [patch] javadoc and comment updates for BooleanClause. 
LUCENE-1824,NUG, FastVectorHighlighter truncates words at beginning and end of fragments 
LUCENE-1366,NUG, Rename Field.Index.UN_TOKENIZED/TOKENIZED/NO_NORMS 
LUCENE-2996,BUG, addIndexes(IndexReader) incorrectly applies existing deletes 
LUCENE-2464,NUG, FastVectorHighlighter: add a FragmentBuilder to return entire field contents 
LUCENE-2074,NUG, Use a separate JFlex generated Unicode 4 by Java 5 compatible StandardTokenizer 
LUCENE-1508,NUG, CartesianTierPlotter fieldPrefix should be configurable 
LUCENE-1568,BUG, Fix for NPE's in Spatial Lucene for searching bounding box only 
LUCENE-2687,NUG, Remove Priority-Queue size trap in MultiTermQuery.TopTermsBooleanQueryRewrite 
LUCENE-217,NUG, [PATCH] new method: Document.remove() 
LUCENE-1681,BUG, DocValues infinite loop caused by - a call to getMinValue | getMaxValue | getAverageValue 
LUCENE-2560,NUG, random analyzer tests 
LUCENE-3279,NUG, Allow CFS be empty 
LUCENE-1407,NUG, Refactor Searchable to not have RMI Remote dependency 
LUCENE-1687,NUG, Remove ExtendedFieldCache by rolling functionality into FieldCache 
LUCENE-1421,NUG, Ability to group search results by field 
LUCENE-957,BUG, Lucene RAM Directory doesn't work for Index Size > 8 GB 
LUCENE-1590,NUG, Stored-only fields automatically enable norms and tf when added to document 
LUCENE-2656,NUG," If tests fail, don't report about unclosed resources "
LUCENE-1780,NUG, deprecate Scorer.explain 
LUCENE-1586,NUG, add IndexReader.getUniqueTermCount 
LUCENE-1285,BUG, WeightedSpanTermExtractor incorrectly treats the same terms occurring in different query types 
LUCENE-440,NUG, FilteredQuery should have getFilter() 
LUCENE-1688,NUG, Deprecating StopAnalyzer ENGLISH_STOP_WORDS - General replacement with an immutable Set 
LUCENE-1730,BUG," TrecContentSource should use a fixed encoding, rather than system dependent "
LUCENE-2344,BUG, PostingsConsumer#merge does not call finishDoc 
LUCENE-1759,NUG, Implement TokenStream.end() in contrib TokenStreams 
LUCENE-955,BUG, Bug in SegmentTermPositions if used for first term in the dictionary 
LUCENE-2995,NUG, factor out a shared spellchecking module 
LUCENE-1725,BUG," Benchmark package uses new TopFieldCollector but also still uses AUTO without resolving it - result is, our sort algorithms won't run "
LUCENE-1250,BUG, Some equals methods do not check for null argument 
LUCENE-2559,NUG, reopen support for SegmentReader 
LUCENE-621,NUG, Default lock timeouts should have static setter/getters 
LUCENE-690,BUG, LazyField use of IndexInput not thread safe 
LUCENE-1579,NUG, Cloned SegmentReaders fail to share FieldCache entries 
LUCENE-1422,NUG, New TokenStream API 
LUCENE-2754,NUG, add spanquery support for all multitermqueries 
LUCENE-1356,NUG, Allow easy extensions of TopDocCollector 
LUCENE-1255,BUG, CheckIndex should allow term position = -1 
LUCENE-806,NUG, Synchronization bottleneck in FieldSortedHitQueue with many concurrent readers 
LUCENE-433,NUG," Issue LUCENE-352 was closed, but the patch there is not applied in the current trunk "
LUCENE-3065,NUG, NumericField should be stored in binary format in index (matching Solr's format) 
LUCENE-1295,NUG, Make retrieveTerms(int docNum) public in MoreLikeThis 
LUCENE-2994,NUG," When 3.1 is released, update backwards tests in 3.x branch "
LUCENE-346,NUG, [PATCH] disable coord for generated BooleanQueries 
LUCENE-654,NUG, GData-Server - Website sandbox part 
LUCENE-329,BUG, Fuzzy query scoring issues 
LUCENE-3404,BUG, testIWondiskfull checkindex failure 
LUCENE-3234,NUG, Provide limit on phrase analysis in FastVectorHighlighter 
LUCENE-1322,NUG, Remove synchronization in CompoundFileReader 
LUCENE-238,NUG, [PATCH] import cleanup 
LUCENE-515,BUG, Using ConstantScoreQuery on a RemoteSearchable throws java.io.NotSerializableException 
LUCENE-2537,BUG, FSDirectory.copy() impl is unsafe 
LUCENE-1832,BUG, minor/nitpick TermInfoReader bug ? 
LUCENE-1303,BUG, BoostingTermQuery's explanation should be marked as Match even if the payload part negated or zero'ed it 
LUCENE-212,BUG, FileInputStream never closed in HTMLParser 
LUCENE-3492,NUG, Extract a generic framework for running randomized tests. 
LUCENE-1845,NUG," if the build fails to download JARs for contrib/db, just skip its tests "
LUCENE-877,NUG," 2.1 Locking documentation in ""Apache Lucene - Index File Formats"" section ""6.2 Lock File"" out dated "
LUCENE-1002,NUG, Nightly Builds 
LUCENE-1019,NUG, CustomScoreQuery should support multiple ValueSourceQueries 
LUCENE-493,NUG, Nightly build archives do not contain Java source code. 
LUCENE-3574,NUG," Add some more constants for newer Java versions to Constants.class, remove outdated ones. "
LUCENE-1546,NUG, Add IndexReader.flush(commitUserData) 
LUCENE-2419,NUG, Improve parallel tests 
LUCENE-2282,NUG," Expose IndexFileNames as public, and make use of its methods in the code "
LUCENE-832,BUG, NPE when calling isCurrent() on a ParallellReader 
LUCENE-546,BUG, Index corruption when using RAMDirectory( Directory) constructor 
LUCENE-1882,NUG, move SmartChineseAnalyzer into the smartcn package 
LUCENE-1775,NUG, Change remaining contrib streams/filters to use new TokenStream API 
LUCENE-1243,NUG, A few new benchmark tasks 
LUCENE-2080,NUG, Improve the documentation of Version 
LUCENE-646,NUG," [PATCH] fix various small issues with the ""getting started"" demo pages "
LUCENE-1323,BUG, MultiReader should make a private copy of the subReaders array 
LUCENE-2809,BUG, IndexWriter.numDocs doesn't take into account applied but not flushed deletes 
LUCENE-2911,NUG," synchronize grammar/token types across StandardTokenizer, UAX29EmailURLTokenizer, ICUTokenizer, add CJK types. "
LUCENE-1544,BUG, Deadlock: IndexWriter.addIndexes(IndexReader[]) 
LUCENE-1673,NUG, Move TrieRange to core 
LUCENE-3390,BUG, Incorrect sort by Numeric values for documents missing the sorting field 
LUCENE-2079,NUG, Further improvements to contrib/benchmark for testing NRT 
LUCENE-2943,BUG, ICU collator thread-safety issues 
LUCENE-3260,BUG," need a test that uses termsenum.seekExact() (which returns true), then calls next() "
LUCENE-2633,NUG, PackedInts does not support structures above 256MB 
LUCENE-1531,NUG," contrib/xml-query-parser, BoostingTermQuery support "
LUCENE-1123,NUG, Allow overriding the specification version in MANIFEST.MF 
LUCENE-1219,NUG, support array/offset/ length setters for Field with binary data 
LUCENE-2814,NUG, stop writing shared doc stores across segments 
LUCENE-2767,BUG, Missing sync in IndexWriter.addIndexes(IndexReader[]) 
LUCENE-811,NUG, Public API inconsistency 
LUCENE-2251,NUG, Change contrib tests to use the special LuceneTestCase(J4) constant for the current version used a matchVersion parameter 
LUCENE-3734,NUG, Allow customizing/subclassing of DirectoryReader 
LUCENE-3507,NUG, Improve Memory Consumption for merging DocValues SortedBytes variants 
LUCENE-3419,NUG, Resolve JUnit assert deprecations 
LUCENE-1749,NUG, FieldCache introspection API 
LUCENE-3062,BUG, TestBytesRefHash#testCompact is broken 
LUCENE-2524,BUG," when many query clases are specified in boolean or dismax query, highlighted terms are always ""yellow"" if multi-colored feature is used "
LUCENE-3879,BUG, fix more position corrumptions in 4.0 codecs 
LUCENE-2108,BUG, SpellChecker file descriptor leak - no way to close the IndexSearcher used by SpellChecker internally 
LUCENE-1804,NUG, Can't specify AttributeSource for Tokenizer 
LUCENE-881,BUG, QueryParser escaping/parsin issue with strings starting/ending with || 
LUCENE-1627,NUG," SpellChecker has no ""close"" method "
LUCENE-398,BUG, ParallelReader crashes when trying to merge into a new index 
LUCENE-1901,BUG, TermAttributeImpl.equals() does not check termLength 
LUCENE-3087,BUG, highlighting exact phrase with overlapping tokens fails. 
LUCENE-1755,BUG, WriteLineDocTask should keep docs w/ just title and no body 
LUCENE-976,BUG, MMapDirectory is missing newly added openInput method to FSDirectory 
LUCENE-1833,NUG," When we move to java 1.5 in 3.0 we should replace all Interger, Long, etc construction with .valueOf "
LUCENE-3548,BUG, CharsRef#append broken on trunk & 3.x 
LUCENE-807,NUG, Minor improvement to JavaDoc for ScoreDocComparator 
LUCENE-849,NUG," contrib/benchmark:  configurable HTML Parser, external classes to path, exhaustive doc maker "
LUCENE-1929,BUG, Highlighter doesn't support NumericRangeQuery or deprecated RangeQuery 
LUCENE-1666,BUG," Constants causing NullPointerException when fetching metadata ""Implementation Version"" in MANIFEST "
LUCENE-693,NUG, ConjunctionScorer - more tuneup 
LUCENE-861,BUG, Contrib queries package Query implementations do not override equals() 
LUCENE-2516,NUG," More clarification, improvements and correct behaviour of backwards tests "
LUCENE-3084,NUG," MergePolicy.OneMerge.segments should be List<SegmentInfo> not SegmentInfos, Remove Vector<SI> subclassing from SegmentInfos & more refactoring "
LUCENE-490,NUG, JavaCC 4.0 fails to generate QueryParser.java 
LUCENE-3860,BUG, 3.x indexes have the wrong normType set in fieldinfos 
LUCENE-1198,BUG, Exception in DocumentsWriter.ThreadState.init leads to corruption 
LUCENE-1050,BUG, SimpleFSLockFactory ignores error on deleting the lock file 
LUCENE-2213,NUG, Small improvements to ArrayUtil.getNextSize 
LUCENE-3171,NUG, BlockJoinQuery/Collector 
LUCENE-1618,NUG, Allow setting the IndexWriter docstore to be a different directory 
LUCENE-755,NUG, Payloads 
LUCENE-1419,NUG, Expert API to specify indexing chain 
LUCENE-1591,NUG, Enable bzip compression in benchmark 
LUCENE-1753,NUG, Make not yet final core/contrib TokenStream/Filter implementations final 
LUCENE-780,NUG, Generalize directory copy operation 
LUCENE-3293,NUG, Use IOContext.READONCE in VarGapTermsIndexReader to load FST 
LUCENE-1321,BUG, Highlight fragment does not extend to maxDocCharsToAnalyze 
LUCENE-1006,BUG, QueryParser doesn't accept empty string 
LUCENE-3376,NUG, Move ReusableAnalyzerBase into core 
LUCENE-2645,BUG, False assertion of >0 position delta in StandardPostingsWriterImpl 
LUCENE-709,NUG, [PATCH] Enable application-level management of IndexWriter.ramDirectory size 
LUCENE-3064,NUG, add checks to MockTokenizer to enforce proper consumption 
LUCENE-1459,BUG, CachingWrapperFilter crashes if you call both bits() and getDocIdSet() 
LUCENE-1932,NUG, Convert PrecedenceQueryParser to new TokenStream API 
LUCENE-1326,BUG, Inflater.end() method not always called in FieldsReader 
LUCENE-504,BUG," FuzzyQuery produces a ""java.lang.NegativeArraySizeException"" in PriorityQueue.initialize if I use Integer.MAX_VALUE as BooleanQuery.MaxClauseCount "
LUCENE-1829,NUG, 'ant javacc' in root project should also properly create contrib/queryparser Java files 
LUCENE-401,NUG, [PATCH] fixes for gcj target. 
LUCENE-2589,NUG, Add a variable-sized int block codec 
LUCENE-3264,NUG, crank up faceting module tests 
LUCENE-2615,BUG, DirectIOLinuxDirectory hardwires buffer size and creates files with invalid permissions 
LUCENE-3135,NUG, backport suggest module to branch 3.x 
LUCENE-202,NUG, Document.fields() only returns stored fields 
LUCENE-3621,NUG, switch appendingcodec to use appending blocktree 
LUCENE-3342,NUG, make frozenbuffereddeletes more efficient for terms 
LUCENE-1136,NUG, add ability to not count sub-task doLogic increment to contri/benchmark 
LUCENE-3426,NUG, optimizer for n-gram PhraseQuery 
LUCENE-2126,NUG, Split up IndexInput and IndexOutput into DataInput and DataOutput 
LUCENE-3642,BUG, EdgeNgrams creates invalid offsets 
LUCENE-2241,NUG, Core Tests should call Version based ctors instead of deprecated default ctors 
LUCENE-3908,NUG," when tests fail, sometimes the testmethod in 'reproduce with' is null "
LUCENE-1163,BUG," CharArraySet.contains(char[] text, int off, int len) does not work "
LUCENE-3216,NUG, Store DocValues per segment instead of per field 
LUCENE-1885,BUG, NativeFSLockFactory.makeLock(...).isLocked() does not work 
LUCENE-759,NUG, Add n-gram tokenizers to contrib/analyzers 
LUCENE-2847,NUG, Support all of unicode in StandardTokenizer 
LUCENE-710,NUG," Implement ""point in time"" searching without relying on filesystem semantics "
LUCENE-541,NUG, The DisjunctionMaxQuery lacks an implementation of extractTerms(). 
LUCENE-1552,BUG, IndexWriter.addIndexes(IndexReader[] readers) doesn't correctly handle exception success flag. 
LUCENE-1769,NUG," Fix wrong clover analysis because of backwards-tests, upgrade clover to 2.6.3 or better "
LUCENE-2578,NUG," cutover FunctionQuery tests to use RandomIndexWriter, for better testing "
LUCENE-1238,NUG, intermittent failures of  TestTimeLimitedCollector.testTimeoutMultiThreaded in nightly tests 
LUCENE-589,NUG, Demo HTML parser doesn't work for international documents 
LUCENE-2236,NUG," Similarity can only be set per index, but I may want to adjust scoring behaviour at a field level "
LUCENE-2147,NUG, Improve Spatial Utility like classes 
LUCENE-2391,NUG, Spellchecker uses default IW mergefactor/ramMB settings of 300/10 
LUCENE-2937,BUG, small float underflow detection bug 
LUCENE-3563,BUG, TestPagedBytes failure 
LUCENE-2158,BUG, NRT can temporarily lose deletions at high indexing rates 
LUCENE-341,BUG, The deprecated constructor of BooleanClause does not set new state 
LUCENE-2586,NUG, move intblock/sep codecs into test 
LUCENE-2199,BUG, ShingleFilter skips over trie-shingles if outputUnigram is set to false 
LUCENE-683,BUG, Lazy Field Loading has edge case bug causing read past EOF 
LUCENE-1967,NUG, make it easier to access default stopwords for language analyzers 
LUCENE-730,NUG, Restore top level disjunction performance 
LUCENE-1503,NUG," refactor spatial contrib ""Filter"" ""Query"" classes "
LUCENE-2922,NUG, Optimize BlockTermsReader.seek 
LUCENE-1781,BUG, Large distances in Spatial go beyond Prime MEridian 
LUCENE-913,BUG, Two consecutive score() calls return different scores for Boolean Queries. 
LUCENE-1040,NUG, Can't quickly create StopFilter 
LUCENE-3220,NUG, Implement various ranking models as Similarities 
LUCENE-1204,NUG, IndexWriter.deleteDocuments bug 
LUCENE-3338,NUG, Flexible query parser does not support open ranges and range queries with mixed inclusive and exclusive ranges 
LUCENE-225,BUG, ClassCastException MultiReader 
LUCENE-3576,NUG, TestBackwardsCompatibility needs terms with U+E000 to U+FFFF 
LUCENE-1928,NUG, PayloadTermQuery refers to a deprecated documentation for redirection  
LUCENE-2075,NUG, Share the Term -> TermInfo cache across threads 
LUCENE-3794,BUG," DirectoryTaxonomyWriter can lose the INDEX_CREATE_TIME property, causing DirTaxoReader.refresh() to falsely succeed (or fail) "
LUCENE-2626,NUG, FastVectorHighlighter: enable FragListBuilder and FragmentsBuilder to be set per-field override 
LUCENE-1937,NUG, Add more methods to manipulate QueryNodeProcessorPipeline elements 
LUCENE-3465,BUG, IndexSearcher fails to pass docBase to Collector when using ExecutorService 
LUCENE-3725,NUG, Add optional packing to FST building 
LUCENE-3697,BUG, FastVectorHighlighter SimpleBoundaryScanner does not work well when highlighting at the beginning of the text  
LUCENE-514,NUG, MultiPhraseQuery should allow access to terms 
LUCENE-2756,BUG, MultiSearcher.rewrite() incorrectly rewrites queries 
LUCENE-2902,NUG, tests should run checkIndex on indexes they create 
LUCENE-1839,NUG," Scorer.explain is deprecated but abstract, should have impl that throws UnsupportedOperationException "
LUCENE-2555,NUG, Remove shared doc stores 
LUCENE-978,BUG, GC resources in TermInfosReader when exception occurs in its constructor 
LUCENE-2343,NUG, Add support for benchmarking Collectors 
LUCENE-840,NUG, contrib/benchmark unit tests 
LUCENE-3093,NUG, Build failed in the flexscoring branch because of Javadoc warnings 
LUCENE-598,NUG, GData Server MileStone 1 Revision 
LUCENE-243,NUG, [PATCH] setIndexInterval() in IndexWriter 
LUCENE-2642,NUG, merge LuceneTestCase and LuceneTestCaseJ4 
LUCENE-2716,NUG, Improve automaton's MinimizeOperations.minimizeHopcroft() to not create so many objects 
LUCENE-285,NUG, David Spencer Spell Checker improved 
LUCENE-2696,NUG, TestIndexWriterDelete makes broken segments with payloads on 
LUCENE-1311,NUG, Add ability to open prior commits to IndexReader 
LUCENE-1977,NUG, Remove MultiTermQuery.getTerm() 
LUCENE-3595,NUG, Refactor FieldCacheRangeFilter.FieldCacheDocIdSet to be separate class and fix the dangerous matchDoc() throws AIOOBE requirement 
LUCENE-3040,NUG, analysis consumers should use reusable tokenstreams 
LUCENE-335,NUG, Testcase for StandardAnalyzer 
LUCENE-1540,NUG, Improvements to contrib.benchmark for TREC collections 
LUCENE-3121,NUG, FST should offer lookup-by-output API when output strictly increases 
LUCENE-756,NUG, Maintain norms in a single file .nrm 
LUCENE-761,NUG, Clone proxStream lazily in SegmentTermPositions 
LUCENE-222,NUG," [PATCH] Better ""lock obtain timed out"" error message "
LUCENE-2195,NUG, Speedup CharArraySet if set is empty 
LUCENE-1097,NUG, IndexWriter.close(false) does not actually stop background merge threads 
LUCENE-3609,BUG," BooleanFilter changed behavior in 3.5, no longer acts as if ""minimum should match"" set to 1 "
LUCENE-411,NUG," [PATCH] BitSetQuery, FastPrefixQuery, FastWildcardQuery and FastQueryParser "
LUCENE-3577,NUG, rename expungeDeletes 
LUCENE-2883,NUG, Consolidate Solr  & Lucene FunctionQuery into modules 
LUCENE-3527,NUG, Implement getDistance() on DirectSpellChecker.INTERNAL_LEVENSHTEIN 
LUCENE-2705,NUG, TestThreadSafety.testLazyLoadThreadSafety test failure 
LUCENE-2050,NUG, Improve contrib/benchmark for testing near-real-time search performance 
LUCENE-981,NUG, NewAnalyzerTask 
LUCENE-2010,NUG, Remove segments with all documents deleted in commit/flush/close of IndexWriter instead of waiting until a merge occurs. 
LUCENE-2658,BUG, TestIndexWriterExceptions random failure: AIOOBE in ByteBlockPool.allocSlice 
LUCENE-2272,NUG, PayloadNearQuery has hardwired explanation for 'AveragePayloadFunction' 
LUCENE-2573,NUG, Tiered flushing of DWPTs by RAM with low/high water marks 
LUCENE-2309,NUG, Fully decouple IndexWriter from analyzers 
LUCENE-2060,NUG, CMS should default its maxThreadCount to 1 (not 3) 
LUCENE-1607,NUG, String.intern() faster alternative 
LUCENE-2568,BUG, TestUTF32ToUTF8 fails on IBM's JRE 
LUCENE-2703,BUG, multitermquery scoring differences between 3x and trunk 
LUCENE-3863,NUG, DocValues.type() -> DocValues.getType() 
LUCENE-2682,NUG, create test case to verify we support > 2.1B terms 
LUCENE-3841,BUG, CloseableThreadLocal does not work well with Tomcat thread pooling 
LUCENE-3361,NUG, port url+email tokenizer to standardtokenizerinterface (or similar) 
LUCENE-3117,NUG, yank SegmentReader.norm out of SegmentReader.java 
LUCENE-3197,BUG, Optimize runs forever if you keep deleting docs at the same time 
LUCENE-1898,NUG, Decide if we should remove lines numbers from latest Changes 
LUCENE-478,BUG, CJK char list 
LUCENE-698,BUG, FilteredQuery ignores boost 
LUCENE-871,NUG, ISOLatin1AccentFilter a bit slow 
LUCENE-2302,NUG," Replacement for TermAttribute+Impl with extended capabilities (byte[] support, CharSequence, Appendable) "
LUCENE-3334,NUG, IOUtils.closeSafely should log suppressed Exceptions in stack trace of original Exception (a new feature of Java 7) 
LUCENE-2693,BUG, Add delete term and query need to more precisely record the bytes used 
LUCENE-1899,NUG, Inefficient growth of OpenBitSet 
LUCENE-3094,NUG, optimize lev automata construction 
LUCENE-1005,BUG," GData TestDateFormater (sic) fails when the Date returned is: Sun, 23 Sep 2007 01:29:06 GMT+00:00 "
LUCENE-1296,NUG, Allow use of compact DocIdSet in CachingWrapperFilter 
LUCENE-2985,NUG, Build SegmentCodecs incrementally for consistent codecIDs during indexing 
LUCENE-2459,BUG, FilterIndexReader doesn't work correctly with post-flex SegmentMerger 
LUCENE-3744,NUG, Add support for type whitelist in TypeTokenFilter 
LUCENE-276,BUG, Memory leak when sorting 
LUCENE-2393,NUG, Utility to output total term frequency and df from a lucene index 
LUCENE-2319,NUG, IndexReader # doCommit - typo nit about v3.0 in trunk 
LUCENE-316,NUG, [PATCH] Mention RangeFilter in javadoc for maxClauseCount 
LUCENE-1502,BUG, CharArraySet behaves inconsistently in add(Object) and contains(Object) 
LUCENE-2704,NUG, TestIndexWriter.testOptimizeTempSpaceUsage fails w/ SimpleText codec 
LUCENE-2842,NUG, add Galician analyzer 
LUCENE-2621,NUG, Extend Codec to handle also stored fields and term vectors 
LUCENE-1102,NUG, EnwikiDocMaker id field 
LUCENE-3789,NUG, Expose FilteredTermsEnum from MTQ  
LUCENE-2310,NUG," Reduce Fieldable, AbstractField and Field complexity "
LUCENE-2758,BUG, TestPerFieldCodecSupport intermittent fail 
LUCENE-3815,NUG, Correct copy-paste victim Comment 
LUCENE-3612,NUG, remove _X.fnx 
LUCENE-960,NUG, SpanQueryFilter addition 
