ID,CLASSIFIED,SUMMARY
LUCENE-3909,NUG, Move Kuromoji to analysis.ja and introduce Japanese* naming 
LUCENE-1147,NUG, add option to CheckIndex to only check certain segments 
LUCENE-2935,NUG, Let Codec consume entire document 
LUCENE-2970,NUG, SpecialOperations.isFinite can have TERRIBLE TERRIBLE runtime in certain situations 
LUCENE-2089,NUG, explore using automaton for fuzzyquery 
LUCENE-1542,BUG, Lucene can incorrectly set the position of tokens that start a field with positonInc 0. 
LUCENE-1247,NUG, Unnecessary assert in org.apache.lucene.index.DocumentsWriterThreadState.trimFields() 
LUCENE-1979,NUG, Remove remaining deprecations from indexer package 
LUCENE-3807,NUG, Cleanup suggester API 
LUCENE-2574,NUG, Optimize copies between IndexInput and Output 
LUCENE-919,NUG, DefaultSkipListReader should not be public 
LUCENE-2024,NUG," ""ant dist"" no longer generates md5's for the top-level artifacts "
LUCENE-652,NUG," Compressed fields should be ""externalized"" (from Fields into Document) "
LUCENE-1079,NUG, DocValues cleanup: constructor & getInnerArray() 
LUCENE-241,BUG, NullPointerException in CompoundFileReader 
LUCENE-1963,NUG, ArabicAnalyzer: Lowercase before Stopfilter 
LUCENE-258,NUG, [PATCH] HTMLParser doesn't parse hexadecimal character references 
LUCENE-1965,NUG, Lazy Atomic Loading Stopwords in SmartCN  
LUCENE-2804,NUG, check all tests that use FSDirectory.open 
LUCENE-951,BUG, PATCH MultiLevelSkipListReader NullPointerException 
LUCENE-865,BUG, SpellChecker not working because of stale IndexSearcher 
LUCENE-2358,NUG, rename KeywordMarkerTokenFilter 
LUCENE-3012,BUG," if you use setNorm, lucene writes a headerless separate norms file "
LUCENE-1883,NUG, Fix typos in CHANGES.txt and contrib/CHANGES.txt prior to 2.9 release 
LUCENE-1869,NUG," when checking tvx/fdx size mismatch, also include whether the file exists "
LUCENE-2667,NUG," Fix FuzzyQuery's defaults, so its fast. "
LUCENE-3327,BUG," TestFSTs.testRandomWords throws AIOBE when ""verbose""=true "
LUCENE-3437,NUG," Detect the test thread by reference, not by name. "
LUCENE-1169,BUG, Search with Filter does not work! 
LUCENE-3911,NUG, improve BaseTokenStreamTestCase random string generation 
LUCENE-1107,NUG," Clean up old JIRA issues in component ""Other"" "
LUCENE-2803,BUG, FieldCache should not pay attention to deleted docs when creating entries 
LUCENE-1202,NUG, Clover setup currently has some problems 
LUCENE-847,NUG, Factor merge policy out of IndexWriter 
LUCENE-2862,NUG, Track total term freq per term 
LUCENE-389,NUG, MatchAllDocsQuery to return all documents 
LUCENE-501,NUG, need DOAP file for Lucene 
LUCENE-2373,NUG, Create a Codec to work with streaming and append-only filesystems 
LUCENE-910,NUG, Add/change warning comments in the javadocs of Payload APIs 
LUCENE-875,NUG, javadocs creation has too many warnings/errors 
LUCENE-836,NUG," Benchmarks Enhancements (precision/recall, TREC, Wikipedia) "
LUCENE-1925,NUG," In IndexSearcher class, make subReader and docCount arrays protected so sub classes can access them "
LUCENE-2088,NUG," AttributeSource.addAttribute should only accept interfaces, the missing test leads to problems with Token.TOKEN_ATTRIBUTE_FACTORY "
LUCENE-1201,NUG, Add getIndexCommit method to IndexReader 
LUCENE-1740,NUG, Lucli: Command to change the Analyzer 
LUCENE-2325,NUG, investigate solr test failures using flex 
LUCENE-1875,NUG, Javadoc of TokenStream.end() somehow confusing 
LUCENE-773,NUG," Deprecate ""create"" method in FSDirectory.getDirectory in favor of IndexWriter's ""create"" "
LUCENE-3274,NUG, Collapse Common module into Lucene core util 
LUCENE-2255,NUG, IndexWriter.getReader() allocates file handles 
LUCENE-3686,BUG, EnhancementsPayloadIterator.getCategoryData(CategoryEnhancement) problematic usage of Object.equals() 
LUCENE-1044,NUG, Behavior on hard power shutdown 
LUCENE-528,NUG, Optimization for IndexWriter.addIndexes() 
LUCENE-2640,NUG, add LuceneTestCase[J4].newField 
LUCENE-2913,NUG," Add missing getter methods to NumericField, NumericTokenStream, NumericRangeQuery, NumericRangeFilter "
LUCENE-2261,NUG, configurable MultiTermQuery TopTermsScoringBooleanRewrite pq size 
LUCENE-641,BUG, maxFieldLength actual limit is 1 greater than expected value. 
LUCENE-2957,NUG, generate-maven-artifacts target should include all non-Mavenized Lucene & Solr dependencies 
LUCENE-2398,NUG, Improve tests to work easier from IDEs 
LUCENE-1873,NUG, Update site lucene-sandbox page 
LUCENE-1424,NUG, Change all multi-term querys so that they extend MultiTermQuery and allow for a constant score mode 
LUCENE-1297,NUG, Allow other string distance measures in spellchecker 
LUCENE-3271,NUG, Move 'good' contrib/queries classes to Queries module 
LUCENE-2329,NUG, Use parallel arrays instead of PostingList objects 
LUCENE-802,NUG, lucene jars should include LiCENSE and NOTICE 
LUCENE-2881,NUG, Track FieldInfo per segment instead of per-IW-session 
LUCENE-2269,NUG," don't download/extract 20,000 files when doing the build "
LUCENE-1876,NUG, Some contrib packages are missing a package.html 
LUCENE-1686,NUG, Remove Unnecessary NULL check in FindSegmentsFile - cleanup 
LUCENE-749,BUG, ChainedFilter does not work well in the event of filters in ANDNOT 
LUCENE-3851,NUG, TestTermInfosReaderIndex failing (always reproducible) 
LUCENE-569,BUG, NearSpans skipTo bug 
LUCENE-2503,NUG, light/minimal stemming for euro languages 
LUCENE-2097,BUG," In NRT mode, and CFS enabled, IndexWriter incorrectly ties up disk space "
LUCENE-3073,NUG, make compoundfilewriter public 
LUCENE-1692,NUG, Contrib analyzers need tests 
LUCENE-1244,NUG, Get rid of (another) hard coded path 
LUCENE-523,BUG, FSDirectory.openFile(String) causes ClassCastException 
LUCENE-3619,BUG," in trunk if you switch up omitNorms while indexing, you get a corrumpt norms file "
LUCENE-1538,NUG, ValueSourceQuery hits synchronization bottleneck in IndexReader.isDeleted 
LUCENE-3509,NUG, Add settings to IWC to optimize IDV indices for CPU or RAM respectivly 
LUCENE-2854,NUG, Deprecate SimilarityDelegator and Similarity.lengthNorm 
LUCENE-987,NUG, Deprecate IndexModifier 
LUCENE-345,BUG, Weird BooleanQuery behavior 
LUCENE-1131,NUG, Add numDeletedDocs to IndexReader 
LUCENE-757,NUG, Source packaging fails if ${dist.dir} does not exist 
LUCENE-1429,BUG, close() throws incorrect IllegalStateEx after IndexWriter hit an OOME when autoCommit is true 
LUCENE-1458,NUG, Further steps towards flexible indexing 
LUCENE-2397,BUG, SnapshotDeletionPolicy.snapshot() throws NPE if no commits happened 
LUCENE-2907,BUG, automaton termsenum bug when running with multithreaded search 
LUCENE-1916,NUG, smartcn HHMM doc translation 
LUCENE-3575,BUG, Field names can be wrong for stored fields / term vectors after merging 
LUCENE-448,NUG, optional norms 
LUCENE-3280,NUG, Add new bit set impl for caching filters 
LUCENE-1974,BUG, BooleanQuery can not find all matches in special condition 
LUCENE-1831,NUG," TokenWrapperAttributeFactory, CachingWrapperFilterHelper implements equals and so should also implement hashCode "
LUCENE-2284,BUG, MatchAllDocsQueryNode toString() creates invalid XML-Tag 
LUCENE-1630,NUG, Mating Collector and Scorer on doc Id orderness 
LUCENE-722,NUG, DEFAULT spelled DEFALT in MoreLikeThis.java 
LUCENE-1191,NUG, If IndexWriter hits OutOfMemoryError it should not commit 
LUCENE-946,NUG, replace text from an online collection (used in few test cases) with text that is surely 100% free. 
LUCENE-3433,NUG, Random access non RAM resident IndexDocValues (CSF) 
LUCENE-306,BUG, [PATCH]multiple wildcards ? at the end of search pattern return incorrect hits 
LUCENE-429,NUG, Little improvement for SimpleHTMLEncoder 
LUCENE-1935,NUG, Generify PriorityQueue 
LUCENE-3141,NUG, FastVectorHighlighter - expose FieldFragList.fragInfo for user-customizable FragmentsBuilder 
LUCENE-439,BUG, Filters need hashCode() and equals() 
LUCENE-3086,NUG, add ElisionsFilter to ItalianAnalyzer 
LUCENE-3464,NUG, Rename IndexReader.reopen to make it clear that reopen may not happen 
LUCENE-2034,NUG, Massive Code Duplication in Contrib Analyzers - unifly the analyzer ctors 
LUCENE-1536,NUG," if a filter can support random access API, we should use it "
LUCENE-1047,NUG, Change MergePolicy & MergeScheduler to be abstract base classes instead of an interfaces 
LUCENE-2162,NUG, ExtendableQueryParser should allow extensions to access the toplevel parser settings/ properties 
LUCENE-3898,NUG, possible SynonymFilter bug: hudson fail 
LUCENE-1194,NUG, Add deleteByQuery to IndexWriter 
LUCENE-3635,NUG, Allow setting arbitrary objects on PerfRunData 
LUCENE-2627,BUG, MMapDirectory chunking is buggy 
LUCENE-1415,BUG, MultiPhraseQuery has incorrect hashCode() implementation - Leads to Solr Cache misses 
LUCENE-359,NUG, [PATCH] add term index interval accessors 
LUCENE-1770,NUG, EnwikiQueryMaker 
LUCENE-2514,NUG, Change Term to use bytes 
LUCENE-2052,NUG, Scan method signatures and add varargs where possible 
LUCENE-294,NUG, DisjunctionScorer 
LUCENE-3471,BUG, TestNRTManager test failure 
LUCENE-337,BUG, Combination of BooleanQuery and PhrasePrefixQuery can provoke UnsupportedOperationException 
LUCENE-667,NUG, javacc skeleton files not regenerated 
LUCENE-3240,NUG," Move FunctionQuery, ValueSources and DocValues to Queries module "
LUCENE-561,BUG, ParallelReader fails on deletes and on seeks of previously unused fields 
LUCENE-1830,BUG, BoostingNearQuery doesn't have hashCode/equals 
LUCENE-674,NUG, Error in FSDirectory if java.io.tmpdir incorrectly specified 
LUCENE-3308,NUG, Cleanup 'good' queries code 
LUCENE-499,NUG, Documentation improvements for 1.9 release 
LUCENE-2542,NUG," TopDocsCollector should be abstract super class that is the real ""TopDocsCollector"" contract, a subclass should implement the priority-queue logic. e.g. PQTopDocsCollector "
LUCENE-441,NUG, IntParser and FloatParser unused by FieldCacheImpl 
LUCENE-3198,NUG, Change default Directory impl on 64bit linux to MMap 
LUCENE-1046,BUG, Dead code in SpellChecker.java (branch never executes) 
LUCENE-421,NUG, Numeric range searching with large value sets 
LUCENE-2869,NUG, remove Query.getSimilarity() 
LUCENE-1713,NUG, Rename RangeQuery -> TermRangeQuery 
LUCENE-1628,NUG, Persian Analyzer 
LUCENE-3294,BUG, Some code still compares string equality instead using equals 
LUCENE-1392,NUG, Some small javadocs/extra import fixes 
LUCENE-742,NUG, SpanOrQuery.java: simplification and test 
LUCENE-469,BUG, (Parallel-)MultiSearcher: using Sort object changes the scores 
LUCENE-2683,NUG, upgrade icu libraries to 4.4.2 
LUCENE-3764,NUG, Remove oal.util.MapBackedSet (Java 6 offsers Collections.newSetFromMap()) 
LUCENE-3646,NUG, throw exception for fieldcache on a non-atomic reader 
LUCENE-3856,NUG, Create docvalues based grouped facet collector 
LUCENE-1270,BUG," After IW.addIndexesNoOptimize, IW.close may hang "
LUCENE-2077,NUG, changes-to-html: better handling of bulleted lists in CHANGES.txt 
LUCENE-442,NUG, TestIndexModifier.testIndexWithThreads is not valid? 
LUCENE-1173,BUG, index corruption autoCommit=false 
LUCENE-586,NUG, Very inefficient implementation of MultiTermDocs.skipTo 
LUCENE-556,BUG," MatchAllDocsQuery, MultiSearcher and a custom HitCollector throwing exception "
LUCENE-3522,BUG, TermsFilter.getDocIdSet(context) NPE on missing field 
LUCENE-632,BUG, The creation of a spell index from a LuceneDictionary via SpellChecker.indexDictionary (Dictionary dict) fails starting with 1.9.1 (up to current svn version) 
LUCENE-2286,NUG, enable DefaultSimilarity.setDiscountOverlaps by default 
LUCENE-3213,NUG, Use AtomicReaderContext also for CustomScoreProvider 
LUCENE-228,NUG, encoding of GermanAnalyzer.java and GermanStemmer.java isn't utf-8 
LUCENE-3170,BUG, TestDocValuesIndexing reproducible  test failure 
LUCENE-551,NUG, Make Lucene - Java 1.9.1 Available in Maven2 repository in iBibilio.org 
LUCENE-914,NUG, Scorer.skipTo(current) remains on current for some scorers 
LUCENE-2596,NUG, Impl toString() in MergePolicy and its extensions 
LUCENE-2201,NUG, more performance improvements for snowball 
LUCENE-1655,NUG, remove 1.5 only unit test code that snuck in 
LUCENE-3044,BUG, thaiwordfilter uses attributesource.copyTo incorrectly 
LUCENE-747,NUG, nightly build failed 
LUCENE-870,NUG, add concurrent merge policy 
LUCENE-2622,BUG, Random Test Failure org.apache.lucene.TestExternalCodecs.testPerFieldCodec (from TestExternalCodecs) 
LUCENE-512,BUG, ClassCastException in ParallelReader class 
LUCENE-3678,BUG, TestAddIndexes fails (norms file not found) 
LUCENE-2137,NUG, Replace SegmentReader.Ref with AtomicInteger 
LUCENE-257,NUG, [PATCH] TermVectorReader and TermVectorWriter 
LUCENE-3152,NUG, MockDirectoryWrapper should wrap the lockfactory 
LUCENE-2462,NUG, remove DocsAndPositionsEnum.getPayloadLength 
LUCENE-362,NUG, [PATCH] Extension to binary Fields that allows fixed byte buffer 
LUCENE-2200,NUG, Several final classes have non-overriding protected members 
LUCENE-1646,NUG, QueryParser throws new exceptions even if custom parsing logic threw a better one 
LUCENE-2897,NUG, apply delete-by-Term and docID immediately to newly flushed segments 
LUCENE-2608,NUG, Allow for specification of spell checker accuracy when calling suggestSimilar 
LUCENE-1615,NUG, deprecated method used in fieldsReader / setOmitTf() 
LUCENE-1197,BUG, IndexWriter can flush too early when flushing by RAM usage 
LUCENE-2013,NUG, QueryScorer and SpanRegexQuery are incompatible. 
LUCENE-3026,BUG, smartcn analyzer throw NullPointer exception when the length of analysed text over 32767 
LUCENE-1462,BUG, Instantiated/IndexWriter discrepanies 
LUCENE-2650,NUG, improve windows defaults in FSDirectory 
LUCENE-2032,NUG, Spatial Filters not Serializable 
LUCENE-1343,NUG, A replacement for AsciiFoldingFilter that does a more thorough job of removing diacritical marks or non-spacing modifiers. 
LUCENE-767,NUG," maxDoc should be explicitly stored in the index, not derived from file length "
LUCENE-3340,BUG, Buffered deletes are not flushed by RAM or count 
LUCENE-2932,NUG, clean up obselete information on the website 
LUCENE-631,NUG," GData Server - Milestone 3 Patch, Bugfixes, Documentation "
LUCENE-1827,NUG, Make the Payload Boosting Queries consistent 
LUCENE-2399,NUG, Add support for ICU's Normalizer2 
LUCENE-1266,BUG, IndexWriter.optimize(boolean doWait) ignores doWait parameter 
LUCENE-2206,NUG, integrate snowball stopword lists 
LUCENE-1428,NUG, Highlighter dist jar includes memory binary class files 
LUCENE-461,BUG, StandardTokenizer splitting all of Korean words into separate characters 
LUCENE-2732,NUG, Fix charset problems in XML loading in HyphenationCompoundWordTokenFilter (also Solr's loader from schema) 
LUCENE-2572,NUG, Maven artifacts for Lucene 4 are not stored in the correct path 
LUCENE-3428,BUG, trunk tests hang/deadlock TestIndexWriterWithThreads 
LUCENE-1668,NUG," Trunk fails tests, FSD.open() - related "
LUCENE-3700,NUG, optionally support naist-jdic for kuromoji 
LUCENE-1703,NUG, Add a waitForMerges() method to IndexWriter 
LUCENE-2331,NUG, Add NoOpMergePolicy 
LUCENE-1573,NUG, IndexWriter does not do the right thing when a Thread is interrupt()'d 
LUCENE-634,NUG," QueryParser is not applicable for the arguments (String, String, Analyzer) error in results.jsp when executing search in the browser (demo from Lucene 2.0) "
LUCENE-1880,NUG, Make contrib/collation/(ICU)CollationKeyAnalyzer constructors public 
LUCENE-330,NUG, [PATCH] Use filter bits for next() and skipTo() in FilteredQuery 
LUCENE-347,NUG, [PATCH] Javadoc correction for Scorer.java 
LUCENE-353,BUG, Locking bug 
LUCENE-644,NUG, Contrib: another highlighter approach 
LUCENE-3227,NUG, Add Rewriteable Support to SortField.toString 
LUCENE-419,NUG, [REFACTORING] FieldSortedHitQueue has too much duplicated code 
LUCENE-803,NUG, add svn ignores for eclipse artifacts 
LUCENE-1388,NUG, Add init method to CloseableThreadLocal 
LUCENE-1648,BUG," when you clone or reopen an IndexReader with pending changes, the new reader doesn't commit the changes "
LUCENE-1443,NUG, Performance improvement in OpenBitSetDISI.inPlaceAnd() 
LUCENE-1020,NUG, Basic tool for checking & repairing an index 
LUCENE-438,NUG," add Token.setTermText(), remove final "
LUCENE-1714,BUG, WriteLineDocTask incorrectly normalizes fields 
LUCENE-1028,NUG, Weight is not serializable for some of the queries 
LUCENE-1505,NUG," Change contrib/spatial to use trie's NumericUtils, and remove NumberUtils "
LUCENE-1452,BUG, Binary field content lost during optimize 
LUCENE-511,BUG, New BufferedIndexOutput optimization fails to update bufferStart 
LUCENE-3601,BUG, testIWondiskfull unreferenced files failure 
LUCENE-2690,NUG, Do MultiTermQuery boolean rewrites per segment 
LUCENE-3906,NUG, allow specifying -Dbootclasspath for javac/javadocs 
LUCENE-1376,BUG," sometimes if a BG merge hits an exception, optimize() will fail to forward the exception "
LUCENE-1973,NUG, Remove deprecated query components 
LUCENE-500,NUG, Lucene 2.0 requirements - Remove all deprecated code 
LUCENE-895,NUG, Exclude PrecedenceQueryParser from build or disable failing test cases 
LUCENE-980,BUG, Formatting error in ReportTask in contrib/benchmark 
LUCENE-2984,NUG, Move hasVectors() & hasProx() responsibility out of SegmentInfo to FieldInfos  
LUCENE-2487,NUG, IndexReader subclasses must implement flex APIs 
LUCENE-939,NUG, Check for boundary conditions in FieldInfos 
LUCENE-204,NUG, [PATCH] usage feedback for IndexFiles demo 
LUCENE-3362,NUG, Initialization error of Junit tests with solr-test-framework with IDEs and Maven 
LUCENE-2496,BUG, NPE if you open IW with CREATE on an index with no segments file 
LUCENE-1049,NUG, Simple toString() for BooleanFilter 
LUCENE-1943,NUG, ChineseFilter is inefficient 
LUCENE-3324,BUG, checkindex fails if docfreq >= skipInterval and term is indexed more than once at same position 
LUCENE-2181,NUG, benchmark for collation 
LUCENE-1401,NUG," Deprecation of autoCommit in 2.4 leads to compile problems, when autoCommit should be false "
LUCENE-3302,NUG, Leftover legacy enum in IndexReader 
LUCENE-2455,NUG, Some house cleaning in addIndexes* 
LUCENE-985,BUG, AIOOB thrown when length of termText is longer than 16384 characters (ArrayIndexOutOfBoundsException) 
LUCENE-1233,NUG, Fix Document.getFieldables and others to never return null 
LUCENE-371,BUG, RangeQuery - add equals and hashCode methods 
LUCENE-1959,NUG, Index Splitter 
LUCENE-1936,NUG, Remove deprecated charset support from Greek and Russian analyzers 
LUCENE-3255,BUG, Corrupted segment file not detected and wipes index contents 
LUCENE-3463,NUG, Jenkins trunk tests (nightly only) fail quite often with OOM in Automaton/FST tests 
LUCENE-1528,NUG, Add support for Ideographic Space to the queryparser - also know as fullwith space and wide-space 
LUCENE-2324,NUG, Per thread DocumentsWriters that write their own private segments 
LUCENE-1813,NUG, Add option to ReverseStringFilter to mark reversed tokens 
LUCENE-1961,NUG, Remove remaining deprecations in document package 
LUCENE-2536,BUG, Rollback doesn't preserve integrity of original index 
LUCENE-2211,NUG, Improve BaseTokenStreamTestCase to uses a fake attribute to check if clearAttributes() was called correctly - found bugs in contrib/analyzers 
LUCENE-2695,NUG, DisjunctionMaxScorer allocates 2 arrays per scored doc 
LUCENE-2792,NUG, Add a simple FST impl to Lucene 
LUCENE-3668,BUG, offsets issues with multiword synonyms 
LUCENE-748,BUG, Exception during IndexWriter.close() prevents release of the write.lock 
LUCENE-3584,NUG, bulk postings should be codec private 
LUCENE-2356,NUG, Enable setting the terms index divisor used by IndexWriter whenever it opens internal readers 
LUCENE-3405,NUG, Rename IOUtils.close methods 
LUCENE-3446,BUG, NullPointerException in BooleanFilter  
LUCENE-496,NUG, New tool for  reseting the (length)norm of fields after changing Similarity 
LUCENE-3435,NUG, Create a Size Estimator model for Lucene and Solr 
LUCENE-3356,BUG, trunk TestRollingUpdates.testRollingUpdates seed failure 
LUCENE-296,NUG, [PATCH] FuzzyTermEnum optimization and refactor 
LUCENE-213,BUG, [PATCH] Ordered spanquery with slop can fail 
LUCENE-1857,NUG, Change NumericRangeQuery to generics (for the numeric type) 
LUCENE-3496,NUG, Support grouping by IndexDocValues 
LUCENE-2466,BUG, fix some more locale problems in lucene/solr 
LUCENE-783,NUG, Store all metadata in human-readable segments file 
LUCENE-1433,NUG, Changes.html generation improvements 
LUCENE-2155,NUG, random localization test failures 
LUCENE-3200,NUG, Cleanup MMapDirectory to use only one MMapIndexInput impl with mapping sized of powers of 2 
LUCENE-3054,NUG, SorterTemplate.quickSort stack overflows on broken comparators that produce only few disticnt values in large arrays 
LUCENE-1177,BUG, IW.optimize() can do too many merges at the very end 
LUCENE-360,NUG, Test compilation error 
LUCENE-642,NUG, GData Server IndexComponent 
LUCENE-1874,NUG, Further updates to the site scoring page 
LUCENE-2517,NUG, changes-to-html: fixes and improvements 
LUCENE-1741,NUG, Make MMapDirectory.MAX_BBUF user configureable to support chunking the index files in smaller parts 
LUCENE-376,NUG, [PATCH] Ant macro for javadocs and javadocs-internal 
LUCENE-246,NUG, [PATCH] Make a getter for SortField[] fields in org.apache.lucene.search.Sort 
LUCENE-1605,NUG, Add subset method to BitVector 
LUCENE-3494,NUG, Remove per-document multiply in FilteredQuery 
LUCENE-2556,NUG, (Char)TermAttribute cloning memory consumption 
LUCENE-3203,NUG, Rate-limit IO used by merging 
LUCENE-1286,NUG, LargeDocHighlighter - another span highlighter optimized for large documents 
LUCENE-1187,NUG, Things to be done now that Filter is independent from BitSet 
LUCENE-3778,NUG, Create a grouping convenience class 
LUCENE-3718,BUG, SamplingWrapperTest failure with certain test seed 
LUCENE-2846,NUG," omitTF is viral, but omitNorms is anti-viral. "
LUCENE-3549,NUG, Remove DocumentBuilder interface from facet module 
LUCENE-1387,NUG, Add LocalLucene 
LUCENE-3876,BUG, TestIndexWriterExceptions fails (reproducible) 
LUCENE-3707,NUG, Add a Lucene3x private SegmentInfosFormat implemenation 
LUCENE-1164,NUG, Improve how ConcurrentMergeScheduler handles too-many-merges case 
LUCENE-1404,BUG, NPE in NearSpansUnordered.isPayloadAvailable()  
LUCENE-2278,BUG, FastVectorHighlighter: highlighted term is out of alignment in multi-valued NOT_ANALYZED field 
LUCENE-3883,NUG, Analysis for Irish 
LUCENE-392,NUG, [PATCH] Some Field methods use Classcast check instead of instanceof which is slow 
LUCENE-2692,NUG, Position Checking Span Queries 
LUCENE-689,BUG, NullPointerException thrown by equals method in SpanOrQuery 
LUCENE-1069,BUG, CheckIndex incorrectly sees deletes as index corruption 
LUCENE-3348,BUG, IndexWriter applies wrong deletes during concurrent flush-all 
LUCENE-3071,NUG, PathHierarchyTokenizer adaptation for urls: splits reversed 
LUCENE-1253,NUG, LengthFilter and other TokenFilters that skip tokens ignore relative positionIncrement 
LUCENE-3742,BUG, SynFilter doesn't set offsets for outputs that hang off the end of the input tokens 
LUCENE-3802,NUG, Grouping collector that computes grouped facet counts 
LUCENE-3381,NUG, Sandbox remaining contrib queries 
LUCENE-1960,NUG, Remove deprecated Field.Store.COMPRESS 
LUCENE-2205,NUG," Rework of the TermInfosReader class to remove the Terms[], TermInfos[], and the index pointer long[] and create a more memory efficient data structure. "
LUCENE-2341,NUG, explore morfologik integration 
LUCENE-3418,BUG, Lucene is not fsync'ing files on commit 
LUCENE-2641,NUG, BaseTestRangeFilter can be extremely slow 
LUCENE-1179,BUG, AssertionError on creating doc containing field with empty string as field name 
LUCENE-447,NUG," Make ""ant -projecthelp"" show the javadocs and docs targets as well "
LUCENE-220,BUG, Inconsistent behaviour sorting against field with no related documents 
LUCENE-1064,NUG, Make TopDocs constructor public 
LUCENE-2740,BUG, PerFieldCodecWrapper causes crashes if not all per field codes have been used 
LUCENE-801,NUG, build.xml in cnotrib/benchmark should auto build core java and demo if required 
LUCENE-215,BUG, addIndexes unexpectedly closes index 
LUCENE-2619,NUG, simple improvements to tests 
LUCENE-3726,NUG, Default KuromojiAnalyzer to use search mode 
LUCENE-3602,NUG, Add join query to Lucene 
LUCENE-2966,BUG, SegmentReader.doCommit should be sync'd; norms methods need not be sync'd 
LUCENE-3127,NUG, pull CoreReaders out of SegmentReader 
LUCENE-2102,NUG, LowerCaseFilter for Turkish language 
LUCENE-1566,BUG, Large Lucene index can hit false OOM due to Sun JRE issue 
LUCENE-2134,NUG," [PATCH] ant-task ""javadocs-all"" fails with OutOfMemoryError "
LUCENE-959,NUG, Document Vector->ArrayList 
LUCENE-2377,BUG, Enable the use of NoMergePolicy and NoMergeScheduler by Benchmark 
LUCENE-1394,NUG, Include all CHANGES.txt under contrib 
LUCENE-1031,NUG, Fixes a handful of misspellings/mistakes in changes.txt 
LUCENE-3031,BUG, setFlushPending fails if we concurrently hit a aborting exception 
LUCENE-2918,NUG, IndexWriter should prune 100% deleted segs even in the NRT case 
LUCENE-1564,BUG, Field.setValue(...) doesn't properly handle switching between byte[] and other types 
LUCENE-3382,BUG, fix compound-file/NoSuchDirectoryException bugs in NRTCachingDir 
LUCENE-3701,NUG, FST apis out of sync between trunk/3.x 
LUCENE-1134,BUG, BooleanQuery.rewrite does not work properly for minNumberShouldMatch 
LUCENE-925,NUG, Analysis Package Level Javadocs 
LUCENE-1196,BUG, RAMDirectory reports incorrect EOF on seek 
LUCENE-2488,NUG, Fix 2.9 contrib builds to succeed when JDK 1.4 is used (leaving out contribs that require 1.5) 
LUCENE-1087,BUG, MultiSearcher.explain returns incorrect score/explanation relating to docFreq 
LUCENE-404,BUG, Crash when querying an index using multiple term positions. 
LUCENE-1696,NUG, Added New Token API impl for ASCIIFoldingFilter 
LUCENE-1858,NUG, Update site level documentation 
LUCENE-1331,BUG, FSDirectory doesn't detect double-close nor usage after close 
LUCENE-2761,NUG, specialize payload processing from of DocsAndPositionsEnum 
LUCENE-2029,NUG, Allow separate control over whether body is stored or analyzed 
LUCENE-1208,BUG, Deadlock case in IndexWriter on exception just before flush 
LUCENE-1549,NUG, Strengthen CheckIndex a bit 
LUCENE-2299,BUG, if you open an NRT reader while addIndexes* is running it may miss segments 
LUCENE-1209,NUG," If setConfig(Config config) is called in resetInputs(), you can turn term vectors off and on by round "
LUCENE-2294,NUG, Create IndexWriterConfiguration and store all of IW configuration there 
LUCENE-672,NUG, new merge policy 
LUCENE-2244,NUG, Improve StandardTokenizer's understanding of non ASCII punctuation and quotes 
LUCENE-3016,NUG, Analyzer for Latvian 
LUCENE-2781,NUG, Drop deprecations from trunk 
LUCENE-2110,NUG, Refactoring of FilteredTermsEnum and MultiTermQuery 
LUCENE-2473,NUG," Clicking on the ""More Results"" link in luceneweb.war demo results in ArrayIndexOutOfBoundsException "
LUCENE-2513,BUG, IndexReader overwrites future commits when you open it on a past commit 
LUCENE-1682,NUG, unit tests should use private directories 
LUCENE-869,NUG, Make FSIndexInput and FSIndexOutput inner classes of FSDirectory 
LUCENE-1374,BUG, Merging of compressed string Fields may hit NPE 
LUCENE-3176,BUG, TestNRTThreads test failure 
LUCENE-1384,BUG," addIndexesNoOptimize intermittantly throws incorrect ""segment exists in external directory..."" exception "
LUCENE-1790,NUG, Add Boosting Function Term Query and Some Payload Query refactorings 
LUCENE-1611,BUG, Do not launch new merges if IndexWriter has hit OOME 
LUCENE-3273,NUG, Convert Lucene Core tests over to a simple MockQueryParser 
LUCENE-1382,NUG, Allow storing user data when IndexWriter.commit() is called 
LUCENE-920,NUG, IndexModifier has incomplete Javadocs 
LUCENE-3043,BUG, o.a.l.analysis.de.GermanStemmer crashes on some inputs 
LUCENE-3502,NUG, Packed ints: move .getArray into Reader API 
LUCENE-3517,NUG, Fix pulsingcodec to reuse its enums 
LUCENE-2164,NUG, Make CMS smarter about thread priorities 
LUCENE-1854,NUG," build.xml's tar task should use longfile=""gnu"" "
LUCENE-678,NUG, [PATCH] LockFactory implementation based on OS native locks (java.nio.*) 
LUCENE-2836,NUG, FieldCache rewrite method for MultiTermQueries 
LUCENE-2904,BUG, non-contiguous LogMergePolicy should be careful to not select merges already running 
LUCENE-3358,BUG, StandardTokenizer disposes of Hiragana combining mark dakuten instead of attaching it to the character it belongs to 
LUCENE-3207,BUG, CustomScoreQuery calls weight() where it should call createWeight() 
LUCENE-2584,BUG, Concurrency issues in SegmentInfo.files() could lead to ConcurrentModificationException 
LUCENE-3767,NUG, Explore streaming Viterbi search in Kuromoji 
LUCENE-1828,BUG, MemoryIndex doesn't call TokenStream.reset() and TokenStream.end() 
